127.0.0.1 - - [25/May/2020:16:24:52 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:18 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:19 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:20 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:21 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:21 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:21 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:22 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:22 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:23 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:23 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:23 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 500 4132
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:32 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:34 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [25/May/2020:17:13:58 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [25/May/2020:17:34:56 +0300] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [25/May/2020:17:35:03 +0300] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [25/May/2020:17:35:05 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [25/May/2020:17:35:39 +0300] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [25/May/2020:17:49:39 +0300] "GET /BookStoreWebsite/admin/create_user HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [25/May/2020:17:49:43 +0300] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2216
